season,episode_number,rating,rating_count
1,55,N/A,N/A
2,55,N/A,N/A
3,55,N/A,N/A
4,55,N/A,N/A
5,55,N/A,N/A
6,55,N/A,N/A
7,55,6.4,8
8,55,6.8,6
9,55,5.3,9
10,55,6.7,7
11,55,7.7,9
12,55,7.3,12
13,55,6.6,12
14,55,7.0,13
15,55,6.1,15
16,55,7.1,14
17,55,7.7,20
18,55,7.0,16
19,55,7.7,18
20,55,7.6,21
1,56,N/A,N/A
2,56,N/A,N/A
3,56,N/A,N/A
4,56,N/A,N/A
5,56,N/A,N/A
6,56,N/A,N/A
7,56,N/A,N/A
8,56,N/A,N/A
9,56,7.2,8
10,56,5.9,9
11,56,6.6,8
12,56,6.0,11
13,56,6.4,14
14,56,6.6,15
15,56,7.8,16
16,56,7.2,12
17,56,7.4,18
18,56,7.0,16
19,56,7.6,18
20,56,7.8,18
1,57,N/A,N/A
2,57,N/A,N/A
3,57,N/A,N/A
4,57,N/A,N/A
5,57,N/A,N/A
6,57,N/A,N/A
7,57,N/A,N/A
8,57,5.4,7
9,57,6.4,7
10,57,6.7,7
11,57,6.4,8
12,57,5.7,13
13,57,6.5,13
14,57,6.6,15
15,57,6.1,15
16,57,7.6,14
17,57,8.5,20
18,57,7.3,15
19,57,7.6,17
20,57,7.7,21
1,58,N/A,N/A
2,58,N/A,N/A
3,58,N/A,N/A
4,58,N/A,N/A
5,58,N/A,N/A
6,58,N/A,N/A
7,58,N/A,N/A
8,58,N/A,N/A
9,58,6.1,8
10,58,6.2,8
11,58,3.0,25
12,58,7.5,11
13,58,6.3,10
14,58,7.5,13
15,58,6.4,12
16,58,6.3,14
17,58,7.5,19
18,58,7.2,15
19,58,7.4,17
20,58,8.0,20
1,59,N/A,N/A
2,59,N/A,N/A
3,59,N/A,N/A
4,59,N/A,N/A
5,59,N/A,N/A
6,59,N/A,N/A
7,59,7.8,6
8,59,N/A,N/A
9,59,6.0,8
10,59,6.4,8
11,59,7.1,9
12,59,7.0,6
13,59,7.2,8
14,59,7.3,15
15,59,6.2,13
16,59,6.8,12
17,59,7.3,17
18,59,6.7,18
19,59,7.7,18
20,59,8.1,19
1,60,N/A,N/A
2,60,N/A,N/A
3,60,N/A,N/A
4,60,N/A,N/A
